"","X","Region","Country","Code","Sex","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","Income2019"
"127","1717","East Asia & Pacific","Fiji","FJI","Female"," "," "," ","4.62"," "," ","8.51"," ","5.54"," "," "," "," ","4895.594338"
"128","1718","East Asia & Pacific","Fiji","FJI","Male"," "," "," ","4.29"," "," ","4.93"," ","3.7"," "," "," "," ","4895.594338"
"129","1743","Europe & Central Asia","Finland","FIN","Female","6.69","7.57","7.64","7.1","7.05","7.52","7.95","8.84","8.58","8.39","7.3","6.17","7.49","39812.05707"
"130","1744","Europe & Central Asia","Finland","FIN","Male","6.07","8.89","9.09","8.41","8.28","8.82","9.33","9.88","9.04","8.87","7.42","7.18","8.01","39812.05707"
"131","1769","Europe & Central Asia","France","FRA","Female","7.44","8.8","9.07","9.12","9.36","9.79","10.03","9.91","9.85","9.37","9.06","8.35","7.95","33723.90299"
"132","1770","Europe & Central Asia","France","FRA","Male","6.72","8.68","8.69","8.53","9.44","10.04","10.54","10.77","10.23","9.44","8.98","8.47","8.06","33723.90299"
"133","1795","East Asia & Pacific","French Polynesia","PYF","Female"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"134","1796","East Asia & Pacific","French Polynesia","PYF","Male"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"135","1821","Sub-Saharan Africa","Gabon","GAB","Female"," "," ","28.52"," "," "," "," "," "," "," "," "," "," ","5003.584552"
"136","1822","Sub-Saharan Africa","Gabon","GAB","Male"," "," ","14.42"," "," "," "," "," "," "," "," "," "," ","5003.584552"
"137","1847","Sub-Saharan Africa","Gambia, The","GMB","Female"," "," "," "," ","12.63"," "," "," "," "," ","12.41"," "," ","612.1779842"
"138","1848","Sub-Saharan Africa","Gambia, The","GMB","Male"," "," "," "," ","6.73"," "," "," "," "," ","8.88"," "," ","612.1779842"
"139","1873","Europe & Central Asia","Georgia","GEO","Female","17.59","19.08","17.56","17.4","18.37","16.18","14.48","13.92","12.55","12.74","11.23","10.15","16.21","3977.48713"
"140","1874","Europe & Central Asia","Georgia","GEO","Male","18.11","22.1","22.47","21.57","20.77","22.11","19.93","18.71","19.95","15.01","13.92","12.79","20.21","3977.48713"
"141","1899","Europe & Central Asia","Germany","DEU","Female","7.65","7.31","6.5","5.58","5.18","4.92","4.63","4.22","3.74","3.31","2.91","2.73","3.37","39093.19963"
"142","1900","Europe & Central Asia","Germany","DEU","Male","7.42","8.1","7.37","6.03","5.55","5.5","5.28","4.97","4.45","4.12","3.79","3.49","4.19","39093.19963"
"143","1925","Sub-Saharan Africa","Ghana","GHA","Female"," "," ","5.83"," "," ","2.36"," ","6.6"," ","4.37"," "," "," ","1832.489588"
"144","1926","Sub-Saharan Africa","Ghana","GHA","Male"," "," ","4.91"," "," ","1.97"," ","7.04"," ","4.07"," "," "," ","1832.489588"
"145","1951","Europe & Central Asia","Gibraltar","GIB","Female"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"146","1952","Europe & Central Asia","Gibraltar","GIB","Male"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"147","1977","Europe & Central Asia","Greece","GRC","Female","11.51","13.28","16.33","21.51","28.21","31.35","30.17","28.85","28.1","26.07","24.23","21.5","19.79","16096.92647"
"148","1978","Europe & Central Asia","Greece","GRC","Male","5.13","6.97","10.03","15.12","21.54","24.47","23.6","21.72","19.86","17.82","15.37","13.98","13.54","16096.92647"
"149","2003","Europe & Central Asia","Greenland","GRL","Female"," "," ","7.7","9.6","10.2","10.1","10.3","9.3"," "," "," "," "," "," "
"150","2004","Europe & Central Asia","Greenland","GRL","Male"," "," ","7.8","9.2","9.6","10.1","10.3","8.9"," "," "," "," "," "," "
"151","2029","Latin America & Caribbean","Grenada","GRD","Female"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"152","2030","Latin America & Caribbean","Grenada","GRD","Male"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"153","2055","East Asia & Pacific","Guam","GUM","Female"," ","9.8","9.3","15.7","10.8"," "," "," "," "," "," "," "," "," "
"154","2056","East Asia & Pacific","Guam","GUM","Male"," ","8.8","7.3","11.2","11.9"," "," "," "," "," "," "," "," "," "
"155","2081","Latin America & Caribbean","Guatemala","GTM","Female"," "," ","3.83","6.61","3.44","3.64","3.37","3.53","3.45","3.5","2.8","2.91"," ","3929.843269"
"156","2082","Latin America & Caribbean","Guatemala","GTM","Male"," "," ","3.3","2.86","2.37","2.67","2.36","1.99","2.12","1.93","2.01","1.82"," ","3929.843269"
"157","2107","Sub-Saharan Africa","Guinea","GIN","Female"," "," "," "," "," "," "," "," "," "," "," ","5.06"," ","843.5598937"
"158","2108","Sub-Saharan Africa","Guinea","GIN","Male"," "," "," "," "," "," "," "," "," "," "," ","4.98"," ","843.5598937"
"159","2133","Sub-Saharan Africa","Guinea-Bissau","GNB","Female"," "," "," "," "," "," "," "," "," "," "," "," "," ","711.898736"
"160","2134","Sub-Saharan Africa","Guinea-Bissau","GNB","Male"," "," "," "," "," "," "," "," "," "," "," "," "," ","711.898736"
"161","2159","Latin America & Caribbean","Guyana","GUY","Female"," "," "," "," "," "," "," "," "," "," ","16.49"," "," ","6339.718904"
"162","2160","Latin America & Caribbean","Guyana","GUY","Male"," "," "," "," "," "," "," "," "," "," ","12.34"," "," ","6339.718904"
"163","2185","Latin America & Caribbean","Haiti","HTI","Female"," "," "," "," ","17.3"," "," "," "," "," "," "," "," ","1200.584652"
